,0
0,http://www.theaustralian.com.au/in-depth/terror/failed-bids-for-living-safe-together-funding-awarded-money/news-story/8f2998c8d5257b70d307f015f2188b58
1,https://www.aclu.org/cases/aclu-v-department-homeland-security-foia-lawsuit-seeking-records-countering-violent-extremism
2,https://www.aclu.org/coalition-letter-obama-administration-countering-violent-extremism-cve-program
3,http://www.strokeassociation.org/STROKEORG/LifeAfterStroke/HealthyLivingAfterStroke/ManagingMedicines/Anti-Clotting-Agents-Explained_UCM_310452_Article.jsp#.Vj_Cxyvl3L8
4,https://www.adl.org/news/press-releases/adl-report-white-supremacist-murders-more-than-doubled-in-2017
5,https://www.adl.org/sites/default/files/documents/assets/pdf/combating-hate/Aryan-Circle-Report.pdf
6,https://www.adl.org/sites/default/files/documents/assets/pdf/combating-hate/CR_4499_WhiteSupremacist-Report_web_vff.pdf
7,http://www.aaiusa.org/countering_violent_extremism_cve
8,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/pubs/rp/rp1415/Quick_Guides/Extremism
9,https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/pubs/BriefingBook45p/ViolentExtremism
10,https://www.theguardian.com/uk-news/2016/feb/03/prevent-strategy-sowing-mistrust-fear-muslim-communities
11,http://www.ocregister.com/articles/muslim-744939-communities-community.html
12,https://www.fas.org/sgp/crs/homesec/R42553.pdf
13,http://www.theguardian.com/world/shortcuts/2014/sep/21/islamic-state-isis-isil-daesh
14,https://www.cbsnews.com/news/less-foreign-isis-recruits/
15,http://www.charityandsecurity.org/background/The_Impact_of_Counterterrorism_Measures_on_Charities_and_Donors_After_9/11
16,http://www.cbsnews.com/news/white-house-creating-new-counter-terrorism-task-force/
17,https://www.fbi.gov/news/testimony/worldwide-threats-and-homeland-security-challenges
18,http://www.prri.org/research/survey-nearly-half-of-americans-worried-that-they-or-their-family-will-be-a-victim-of-terrorism/
19,https://www.reviewjournal.com/crime/shootings/sheriff-says-more-than-1100-rounds-fired-in-las-vegas-shooting/
20,http://www.brookings.edu/~/media/research/files/papers/2014/07/30-gender-conflict-prevention-countering-violent-extremism-couture/women-cve-formatted-72914-couture-final2.pdf
21,https://www.dst.defence.gov.au/sites/default/files/basic_pages/documents/counter-terrorism-white-paper.pdf
22,https://obamawhitehouse.archives.gov/sites/default/files/empowering_local_partners.pdf
23,https://www.dhs.gov/sites/default/files/publications/2016_strategic_implementation_plan_empowering_local_partners_prev.pdf
24,https://leb.fbi.gov/2014/october/a-new-approach-to-countering-violent-extremism-sharing-expertise-and-empowering-local-communities
25,https://www.fbi.gov/news/stories/2016-hate-crime-statistics
26,https://www.fbi.gov/about-us/investigate/terrorism/terrorism-definition
27,https://www.fbi.gov/investigate/violent-crime/gangs
28,https://www.fema.gov/nonprofit-security-grant-program
29,https://www.brennancenter.org/analysis/stigmatizing-boston-muslim-community-no-way-build-trust
30,http://www.nytimes.com/2015/11/02/us/fbi-tool-to-identify-extremists-is-criticized.html?smid=nytcore-iphone-share&smprod=nytcore-iphone&_r=1
31,https://news.law.fordham.edu/wp-content/uploads/2017/09/TheAmericanException9-17.pdf
32,https://www.theguardian.com/politics/2016/sep/29/anti-radicalisation-strategy-lacks-evidence-base-in-science
33,http://www.abc.net.au/news/2017-07-11/islamic-national-curriculum-push-to-apply-faith-for-australia/8696330
34,http://www.cnn.com/2017/07/01/politics/cve-funding-changes/index.html
35,https://aic.gov.au/publications/tandi/tandi491
